mainid	name	city	country	publication	functions	adafter	adbefore	ahafter	ahbefore
EA.CA.2032	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.22	shrine	691	692	72	72
EA.CA.2033	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.16	shrine	691	692	72	72
EA.CA.2034	Great Mosque of Hama	Hama	Syria	EMA.1969.1.i.fig.8	architectural drawing, mosque	636	637	15	17
EA.CA.2035	Great Mosque of Hama	Hama	Syria	EMA.1969.1.i.fig.8	architectural drawing, mosque	636	637	15	17
EA.CA.2037	Great Mosque of Kufa	Kufa	Iraq	EMA.1969.1.i.fig.14	mosque	638	638	17	17
EA.CA.2038	Great Mosque of Kufa	Kufa	Iraq	EMA.1969.1.i.fig.14	mosque	638	638	17	17
EA.CA.2039	Great Mosque of Kufa	Kufa	Iraq	EMA.1969.1.i.fig.16	mosque	670	670	50	50
EA.CA.2040	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.fig.21	shrine, architectural drawing	691	692	72	72
EA.CA.2041	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.fig.20	shrine, architectural drawing	691	692	72	72
EA.CA.2042	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.figs 24 and 25	shrine, architectural drawing	691	692	72	72
EA.CA.2043	Busra Cathedral	Busra	Syria	EMA.1969.1.i.fig.38	church, architectural drawing	0	513	0	0
EA.CA.2046	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.fig.89	mosque, architectural drawing	706	715	87	96
EA.CA.2047	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.fig.90	mosque, architectural drawing	706	715	87	96
EA.CA.2048	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.450	bath-house, architectural drawing	725	750	107	133
EA.CA.2049	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451 (drawing	bath-house, architectural drawing	725	750	107	133
EA.CA.2050	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451 (drawing	bath-house, architectural drawing	725	750	107	133
EA.CA.2051	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451 (drawing	bath-house, architectural drawing	725	750	107	133
EA.CA.2052	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451 (drawing	bath-house	725	750	107	133
EA.CA.2053	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451 (drawing	bath-house	725	750	107	133
EA.CA.2054	`Abda	`Abda	Jordan		bath-house	550	600	0	0
EA.CA.2055	Ruhaiba (Qubba al-Bir)	Ruhaiba	Jordan	EMA.1969.1.ii.fig.481	bath-house	550	600	0	0
EA.CA.2058	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.figs 556, 557e a	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2060	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.555	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2061	Jausaq al-Khaqani	Samarra	Iraq	EMA.1940.2.fig.194	palace, architectural drawing	836	842	222	228
EA.CA.2062	Ukhaidir	Ukhaidir	Iraq		palace, architectural drawing	778	0	162	0
EA.CA.2063	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.133a	palace	725	750	107	133
EA.CA.2064	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.130	palace	725	750	107	133
EA.CA.2065	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.132a	palace	725	750	107	133
EA.CA.2066	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.129	palace	725	750	107	133
EA.CA.2067	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.125	palace	725	750	107	133
EA.CA.2068	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.128	palace	725	750	107	133
EA.CA.2069	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.132b	palace	725	750	107	133
EA.CA.2070	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.133b	palace	725	750	107	133
EA.CA.2071	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.124	palace	725	750	107	133
EA.CA.2072	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.126	palace	725	750	107	133
EA.CA.2073	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.123	palace	725	750	107	133
EA.CA.2074	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.136b,c,d	palace	725	750	107	133
EA.CA.2075	Mausoleum of Imam al-Shafi`i	Cairo	Egypt		mausoleum	1211	1211	608	608
EA.CA.2078	Mosque of al-Hakim	Cairo	Egypt	MAE.1952.1.fig.32	mosque, architectural drawing	990	1013	380	403
EA.CA.2079	Mosque of al-Aqmar	Cairo	Egypt		mosque, architectural drawing	1125	1125	519	519
EA.CA.2080	Mashhad al-Juyushi	Cairo	Egypt	MAE.1952.1.fig.79	architectural drawing, mashhad, mosque	1085	1085	478	478
EA.CA.2081	Ziza (al-`Aziza) Palace	Palermo	Italy		palace	1180	1180	576	576
EA.CA.2082	Church of Abu al-Sayfain, Chapel of St George	Cairo (Old Cairo)	Egypt	MAE.1952.1.fig.131	church	1094	1121	487	515
EA.CA.2093	Minarets of al-Juyushi, Abu&apos;l Ghadanfar and Sultan Salih	Cairo	Egypt		minaret	1085	1250	478	648
EA.CA.2098	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.fig.99	mosque, architectural drawing	706	715	87	96
EA.CA.2104	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.fig.127	mosque, architectural drawing	706	715	87	96
EA.CA.2106	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.fig.118	mosque, architectural drawing	706	715	87	96
EA.CA.2113	Great Mosque of Damascus	Damascus	Syria		mosque, architectural drawing	706	715	87	96
EA.CA.2114	Mausoleum of St Menas	Abu Mina	Egypt	EMA.1969.1.ii.fig.529; EMA.193	mausoleum	395	408	0	0
EA.CA.2125	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.122	palace	725	750	107	133
