"ID","CON1","CON2"
399,1589,1990
400,1000,1991
401,1091,1991
402,1038,1991
403,1934,1991
404,1952,1997
405,2042,2001
406,1084,2001
407,1788,2004
408,1386,2006
409,1016,2006
410,1463,2009
411,1000,2014
412,1989,2016
413,1038,2018
414,1091,2018
415,1991,2018
416,1986,2019
417,1796,2022
418,1809,2023
419,2009,2025
420,1571,2025
421,2014,2027
422,6461,1720
423,1021,2029
424,2001,2035
425,2019,2035
426,2028,2035
427,1014,2035
428,1084,2035
429,1095,2036
430,3283,1527
431,1891,2036
432,2140,2036
433,2145,2036
434,1593,2042
435,2051,2052
436,2082,2056
437,2042,2063
438,2042,2064
439,1757,2068
440,2005,2069
441,1997,2073
442,2035,2073
443,1014,2073
444,3219,2076
445,2063,2074
446,3300,2064
447,2076,2074
448,2064,2076
449,5030,5027
450,2043,2081
451,2094,2082
452,2188,2082
453,2188,2094
454,1014,2095
455,2287,2095
456,2096,2190
457,1152,2124
458,3382,1158
459,2128,2127
460,2069,2128
461,1000,2138
462,2138,2140
463,1000,2143
464,1095,2143
465,1926,2145
466,2143,2146
467,1095,2146
468,1000,2147
469,1095,2147
470,2147,2148
471,1095,2148
472,2018,2165
473,2165,2179
474,1000,2183
475,2183,2184
476,1914,2188
477,1914,2189
478,2189,2096
479,1781,2190
480,1129,2192
481,2215,2218
482,1000,2232
483,1014,2232
484,1091,2232
485,1014,2233
486,1000,2233
487,1019,2233
488,1320,2245
489,2253,2245
490,2260,2245
491,2268,2245
492,2233,2249
493,2250,2252
494,2252,2253
495,2233,2266
496,1014,2266
497,2266,2268
498,1014,2268
499,2232,2284
500,2190,2287
501,1014,2287
502,1905,2299
503,1375,2340
504,2949,2340
505,2335,2340
506,1118,2340
507,2543,2340
508,2725,2340
509,1702,2340
510,1685,2340
511,3653,3313
512,3313,3604
513,3313,3382
514,3313,1254
515,3309,3604
516,3309,3385
517,3309,3382
518,3300,3367
519,3360,3604
520,3367,3604
521,3367,3385
522,3360,3385
523,3360,3382
524,3605,3608
525,3604,3605
526,3644,3643
527,3608,3644
528,3382,2022
529,3300,1743
530,3300,1161
531,3390,3379
532,2023,1157
533,1161,3378
534,1768,3384
535,2025,3384
536,3384,2023
537,3675,3987
538,3355,3623
539,3349,3623
540,3623,3655
541,3655,3671
542,3300,3383
543,3250,3698
544,2035,3230
545,3622,2455
546,3374,2455
547,3374,3649
548,3650,3375
549,3649,3650
550,3669,3346
551,3397,3389
552,3389,3345
553,3345,3375
554,3300,3324
555,3324,3607
556,3607,3602
557,4581,3700
558,3300,3388
559,3388,3615
560,2922,5027
561,3348,3375
562,3610,3346
563,3609,3610
564,3652,3348
565,1024,3399
566,3600,3365
567,3365,3392
568,1024,3616
569,3392,1818
570,3392,3641
571,3392,4391
572,3366,1845
573,1844,3366
574,3381,1845
575,3376,3381
576,1171,3308
577,1024,3308
578,1171,3603
579,1024,3603
580,2925,3396
581,3631,1150
582,1157,1150
583,3648,3377
584,3648,1150
585,3699,3377
586,3678,1158
587,3639,3637
588,3625,3377
589,3625,1150
590,1187,3625
591,3636,3641
592,3636,3601
593,3640,3636
594,3377,3640
595,1150,3638
596,1818,1150
597,3638,3641
598,3601,1150
599,1818,3612
600,3612,3614
601,3601,3619
602,3631,6085
603,3619,5502
604,2499,3206
605,2499,3204
606,1141,3289
607,1141,1141
608,2245,3286
609,3293,3294
610,3293,3705
611,3293,3256
612,3293,3287
613,1296,1295
614,3294,3708
615,3287,3298
616,3703,3261
617,3702,3703
618,3256,3702
619,1295,3236
620,2083,5492
621,3704,3972
622,3706,3704
623,3254,3704
624,3232,3297
625,3232,3247
626,1905,3247
627,3255,3297
628,3247,3297
629,1533,3297
630,5432,5462
631,3254,4581
632,3232,3700
633,1912,3299
634,1912,3269
635,1857,1161
636,3269,3299
637,3275,3278
638,3283,2036
639,1151,3629
640,3260,3262
641,2036,3260
642,2036,3273
643,3267,3263
644,3270,5474
645,3277,3279
646,3253,1544
647,3253,3259
648,3216,3259
649,3259,3701
650,3701,3709
651,3701,3707
652,3281,3295
653,3500,3533
654,3077,3533
655,3053,3521
656,3521,3532
657,3751,3532
658,2005,2127
659,1044,3028
660,3980,3042
661,3528,3049
662,3509,3071
663,3177,3178
664,3231,1544
665,3245,3232
666,3248,3245
667,2340,3326
668,3326,3327
669,3327,3328
670,3328,3334
671,3334,3329
672,3647,3634
673,3330,3336
674,3342,3313
675,3300,3350
676,3350,3351
677,3353,3355
678,3315,3353
679,3356,3365
680,3300,3360
681,3363,3365
682,3364,3365
683,1165,3370
684,3370,3326
685,4216,4202
686,4216,4205
687,3201,4095
688,2284,3213
689,1527,3203
690,3203,2036
691,3213,3202
692,1527,3214
693,3214,3222
694,2657,3221
695,3222,2036
696,1015,3242
697,3242,3246
698,3372,3374
699,3020,3028
700,3028,3042
701,5027,2664
702,3243,3244
703,3236,3238
704,3238,3239
705,3239,3240
706,3240,3241
707,3241,3243
708,1583,3248
709,3544,3049
710,6557,3646
711,3033,6073
712,3082,3067
713,3067,3037
714,3067,3088
715,3088,3089
716,3037,3089
717,3532,3804
718,1015,3509
719,3095,3096
720,3096,3098
721,3098,3099
722,3510,3095
723,3095,3511
724,3511,3512
725,3512,3096
726,2234,3373
727,3231,3259
728,3252,3253
729,3329,3330
730,3330,3335
731,3367,3382
732,3300,3369
733,3369,3313
734,3300,3368
735,3368,3313
736,1922,4010
737,1905,3232
738,1168,3248
739,3248,3254
740,1533,3255
741,1961,3277
742,1911,3268
743,3281,3290
744,3278,3283
745,1742,1745
746,3286,3291
747,3290,3295
748,3291,3296
749,1159,1743
750,3306,3307
751,3343,3344
752,3344,1277
753,2025,3351
754,3307,3624
755,3357,3365
756,3365,1844
757,1500,3383
758,3383,2001
759,1743,3390
760,4597,4581
761,3391,3393
762,3300,3395
763,3385,3608
764,3393,3609
765,3394,3622
766,3395,3397
767,3705,4010
768,3259,3276
769,1961,3264
770,3264,3265
771,4085,4567
772,3266,3284
773,1961,3267
774,3268,3275
775,3270,4634
776,3271,3255
777,3255,3254
778,2036,3272
779,2232,3203
780,1505,1472
781,3352,3365
782,2450,2453
783,2463,2454
784,2547,2454
785,2450,2455
786,2454,2456
787,2453,2460
788,2460,2462
789,2462,2463
790,2474,2464
791,2287,2470
792,1626,2471
793,1626,2472
794,2461,2473
795,2473,2474
796,2689,2480
797,4378,1850
798,2287,2496
799,1530,2530
800,1772,1535
801,2287,2657
802,2450,2664
803,2470,2666
804,2693,2668
805,2496,2668
806,2666,2668
807,2682,2668
808,2486,2669
809,2657,2673
810,2681,2675
811,2673,2681
812,2675,2682
813,2657,2683
814,2683,2687
815,2910,2690
816,2687,2693
817,1014,2693
818,2340,2849
819,2915,3219
820,3300,3654
821,1024,2906
822,2688,2907
823,2907,2910
824,1024,2917
825,2499,2925
826,1254,3565
827,1274,1296
828,3300,3301
829,1326,3313
830,3300,3624
831,3624,3313
832,3656,3385
833,3656,3382
834,3656,1254
835,3613,3656
836,3382,4126
837,4361,3925
838,3627,3604
839,3627,3385
840,3627,1254
841,3630,3629
842,3611,3608
843,3629,3611
844,3611,3613
845,3300,1152
846,3300,1151
847,1152,3627
848,1151,3628
849,1171,1152
850,1171,1151
851,3633,3633
852,3633,2340
853,1277,3317
854,3317,2340
855,1586,3647
856,4414,3601
857,3247,3257
858,3295,3292
859,4598,4649
860,3299,3288
861,6092,6117
862,3267,3946
863,3588,3594
864,3847,3901
865,3901,3908
866,3908,3904
867,3902,3903
868,3908,3902
869,3903,3905
870,3904,3905
871,3905,3828
