find_id,within_context_id
877,1636
5161,1016
5164,1016
5168,1016
5170,1016
6264,1126
6401,1140
6403,1140
6404,1140
6405,1140
6407,1140
6408,1140
6410,1140
7581,1258
7584,1258
7586,1258
7587,1258
7588,1258
7771,1277
7774,1277
7775,1277
7778,1277
7881,1288
7883,1288
7884,1288
7885,1288
7887,1288
7888,1288
7890,1288
6253,1125
6261,1126
7961,1296
7963,1296
7964,1296
7965,1296
7966,1296
6267,1126
7967,1296
7968,1296
7970,1296
6291,1129
6294,1129
6297,1129
6298,1129
551,1223
528,1223
651,1296
652,1296
674,1296
678,1296
683,1351
702,1351
742,1397
746,1393
774,1457
784,1544
7231,1223
7234,1223
7235,1223
7238,1223
7371,1237
7373,1237
7374,1237
7375,1237
7376,1237
7378,1237
7401,1240
7404,1240
7408,1240
7421,1242
7424,1242
7425,1242
7431,1243
7433,1243
7434,1243
7435,1243
7436,1243
7437,1243
8951,1395
8954,1395
8958,1395
8621,1362
8623,1362
8624,1362
8625,1362
8628,1362
8971,1397
8974,1397
8975,1397
8977,1397
8978,1397
9101,1410
9103,1410
9104,1410
9105,1410
9107,1410
8021,1302
8024,1302
830,1488
8511,1351
8513,1351
8514,1351
8515,1351
8518,1351
8581,1358
8585,1358
8588,1358
9571,1457
9573,1457
9574,1457
9578,1457
9611,1461
9614,1461
9615,1461
903,1472
904,1472
789,1410
798,1544
975,1254
965,1277
966,1277
801,1277
803,1277
805,1476
806,1477
807,1461
810,1277
814,1397
838,1461
854,1277
856,1397
880,1622
916,1288
930,1580
945,1582
948,1277
951,1277
962,1656
963,1277
971,1656
974,1687
979,1656
983,1656
1015,1712
1078,1788
1082,1788
1110,1756
1056,1756
1061,1756
1062,1761
1063,1761
1069,1796
1118,1761
1074,1788
1077,1788
1320,2232
16651,2165
16654,2165
16658,2165
1121,1757
16901,2190
16904,2190
16907,2190
17321,2232
17235,2232
17236,2232
17238,2232
1138,1756
1286,2057
1142,1788
1143,1788
1158,1761
1460,2233
1461,2027
17324,2232
17325,2232
17326,2232
17328,2232
17331,2233
17334,2233
17337,2233
17981,2298
17985,2298
1204,1775
1214,1756
1476,1900
17664,2266
12565,1756
12567,1756
12568,1756
12570,1756
12571,1757
12573,1757
12574,1757
12576,1757
12577,1757
12578,1757
12580,1757
12611,1761
12613,1761
12614,1761
12615,1761
12617,1761
12618,1761
12620,1761
12641,1764
12644,1764
12645,1764
12646,1764
12681,1768
12683,1768
12684,1768
12687,1768
12688,1768
12690,1768
12711,1771
12713,1771
12714,1771
12718,1771
12721,1772
12728,1772
12751,1775
12753,1775
1231,1934
1232,1934
1489,2298
12531,1753
12534,1753
12561,1756
12563,1756
12564,1756
12755,1775
12758,1775
12760,1775
12881,1788
12883,1788
12884,1788
12885,1788
12886,1788
12968,1796
13007,1800
13321,1832
13324,1832
13327,1832
13328,1832
12887,1788
12888,1788
12890,1788
12921,1792
12924,1792
12961,1796
12963,1796
12964,1796
12965,1796
13081,1808
13108,1810
1166,1761
1175,1796
1180,1792
13831,1883
13834,1883
14007,1900
14051,1905
14054,1905
14058,1905
