find_id,find_material
10311,POTTERY
11641,POTTERY
11643,CERAMIC BUILDING MATERIAL
11644,IRON
11711,POTTERY
11713,CERAMIC BUILDING MATERIAL
11714,IRON
11718,BONE
11720,CHARCOAL
9654,IRON
9658,BONE
13648,Animal Bone
11791,POTTERY
11794,IRON
11798,Animal Bone
11871,POTTERY
11874,IRON
11877,STONE
11878,BONE
11888,Animal Bone
11881,POTTERY
9721,POTTERY
9724,IRON
9725,GLASS
9728,BONE
9741,POTTERY
9743,CERAMIC BUILDING MATERIAL
9744,IRON
9745,GLASS
9761,POTTERY
9764,IRON
9765,GLASS
9767,STONE
9768,Animal Bone
9771,POTTERY
9774,IRON
9881,POTTERY
9883,CERAMIC BUILDING MATERIAL
9884,IRON
9885,GLASS
9981,POTTERY
9983,CERAMIC BUILDING MATERIAL
9984,IRON
9987,STONE
9988,Animal Bone
10171,POTTERY
10175,GLASS
10451,POTTERY
10457,STONE
10458,Animal Bone
10531,POTTERY
10538,Animal Bone
10540,CHARCOAL
10801,POTTERY
10821,POTTERY
10824,IRON
10825,GLASS
11221,POTTERY
11224,IRON
11228,Animal Bone
11361,POTTERY
11364,IRON
11541,POTTERY
11548,Animal Bone
1711,Copper Alloy
1805,Pottery
1830,Iron
1860,Lead
21521,POTTERY
21524,IRON
21526,STONE
21528,Animal Bone
21571,POTTERY
21574,IRON
21578,Animal Bone
21641,POTTERY
21645,GLASS
21648,BONE
21671,POTTERY
21674,IRON
21677,BONE
21733,CERAMIC
21751,POTTERY
21754,IRON
21758,Animal Bone
21834,IRON
21871,POTTERY
21874,IRON
21901,POTTERY
21908,BONE
24071,POTTERY
24078,BONE
24231,PO
24232,TI
24238,AB
24251,POTTERY
24254,IRON
24258,BONE
25281,POTTERY
25284,IRON
25288,Animal Bone
18401,POTTERY
18404,IRON
18408,Animal Bone
19531,POTTERY
19551,POTTERY
19554,IRON
19555,GLASS
19558,Animal Bone
19561,POTTERY
19564,IRON
19565,GLASS
19566,STONE
