"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
93,"SF",814,"Primary",0,0,0,0,0,0,0,0
94,"SF",838,"Primary",0,48,0,0,0,0,0,0
95,"SF",854,"Primary",0,0,0,0,0,0,0,0
96,"SF",880,"Primary",0,0,0,0,0,0,0,0
97,"SF",916,"Primary",0,0,0,0,0,0,0,0
98,"SF",742,,0,48,0,0,0,0,0,0
99,"SF",945,"Primary",12,0,0,0,0,1,0,0
100,"SF",948,"Primary",0,77,0,0,0,0,0,0
101,"SF",951,"Primary",0,0,0,0,0,0,0,0
102,"SF",963,"Primary",0,0,0,0,0,0,0,0
103,"SF",971,"Approx D.",52,0,0,0,0,0,0,0
104,"SF",974,"Primary",0,0,0,0,0,0,0,0
105,"SF",3085,,90,0,0,9,0,0,0,0
106,"SF",983,"Primary",0,0,0,0,0,0,0,0
107,"SF",1015,"Primary",0,0,0,0,0,0,0,0
108,"SF",1056,,0,5,3,0,0,0,0,0
109,"SF",1247,,16,18,0,0,0,0,0,0
110,"SF",1110,,0,2,0,0,0,0,0,0
111,"SF",1118,,0,2,0,0,0,0,0,0
112,"SF",1069,,0,12,17,0,0,0,0,0
113,"SF",774,,0,6,0,0,0,0,0,0
114,"SF",1231,"Primary",0,0,0,0,0,2,0,0
115,"SF",1286,,0,30,0,0,0,0,0,0
116,"SF",2953,,0,14,10,0,0,0,0,0
117,"SF",1143,,0,37,0,0,0,0,0,0
118,"SF",1062,,0,22,5,0,0,0,0,0
119,"SF",3165,,22,62,0,0,0,0,0,0
120,"SF",1255,,0,28,8,0,0,0,0,0
121,"SF",2136,,3,7,0,0,0,0,0,0
122,"SF",1461,,0,14,12,0,0,0,0,0
123,"BF",53041,"2005",0,0,0,0,0,210,0,0
124,"SF",789,,0,17,12,0,0,0,0,0
125,"SF",1476,,0,0,0,0,0,2,0,0
126,"SF",877,,0,95,0,0,0,0,0,0
127,"SF",1711,,0,30,3,0,0,0,0,0
128,"SF",1805,,37,0,0,0,0,0,0,0
129,"SF",1830,,0,20,0,0,0,0,0,0
130,"SF",1860,,0,38,8,0,0,0,0,0
131,"BF",5162,"Brick, flat",0,170,140,40,0,5050,0,0
132,"BF",5162,"Unident",0,110,100,30,0,1200,0,0
133,"BF",5162,"Tegula",0,40,80,30,0,100,0,0
134,"BF",5162,"Imbrex",0,50,65,10,0,50,0,0
