group_id,within_investigation_id
156,SILCHESTER
157,SILCHESTER
50010,SILCHESTER
50014,SILCHESTER
50017,SILCHESTER
50018,SILCHESTER
50019,SILCHESTER
50029,SILCHESTER
50030,SILCHESTER
50033,SILCHESTER
50034,SILCHESTER
50035,SILCHESTER
50036,SILCHESTER
50037,SILCHESTER
50043,SILCHESTER
50044,SILCHESTER
50046,SILCHESTER
