ID,PID,REC_TYPE,SFNO,MATERIAL,NAME,CONTEXT,AOD,EASTINGS,NORTHINGS,START_DATE,END_DATE,DATE_TERM,QUANTITY,SPOTDATE
1965,F1965,BF,7401,POTTERY,;VESSEL;,1240,0,0,0,0,0,,0
1968,F1968,BF,7404,IRON,;NAILS;FASTENINGS;,1240,0,0,0,0,0,,0
1969,F1969,BF,7408,BONE,;ASSORTED;ANIMAL;,1240,0,0,0,0,0,,0
1976,F1976,BF,7421,POTTERY,;VESSEL;,1242,0,0,0,0,0,,0
1978,F1978,BF,7424,IRON,;NAILS;FASTENINGS;,1242,0,0,0,0,0,,0
1979,F1979,BF,7425,GLASS,;VESSEL;,1242,0,0,0,0,0,,0
1980,F1980,BF,7431,POTTERY,Household Vessel,1243,0,0,0,0,0,,0
1982,F1982,BF,7433,CERAMIC BUILDING MATERIAL,Buildings,1243,0,0,0,0,0,,0
1983,F1983,BF,7434,IRON,Fittings Nails,1243,0,0,0,0,0,,0
1984,F1984,BF,7435,GLASS,Household Vessel,1243,0,0,0,0,0,;ROMAN;,0
1985,F1985,BF,7436,STONE,"Buildings, Tesserae",1243,0,0,0,0,0,,0
1986,F1986,BF,7437,STONE,", unworked,",1243,0,0,0,0,0,,0
1990,F1990,BF,8951,POTTERY,Household Vessel,1395,0,0,0,0,0,,0
1991,F1991,BF,8954,IRON,Fitting Nails,1395,0,0,0,0,0,,0
1992,F1992,BF,8958,Animal Bone,Animal Bone,1395,0,0,0,0,0,,0
2036,F2036,BF,8621,POTTERY,;VESSEL;,1362,0,0,0,0,0,,0
2037,F2037,BF,8623,CERAMIC BUILDING MATERIAL,;CERAMIC BUILDING MATERIAL;,1362,0,0,0,0,0,,0
2038,F2038,BF,8624,IRON,;NAILS;FASTENINGS;,1362,0,0,0,0,0,,0
2039,F2039,BF,8625,GLASS,;VESSEL;,1362,0,0,0,0,0,,0
2040,F2040,BF,8628,BONE,;ASSORTED;ANIMAL;TEETH;,1362,0,0,0,0,0,,0
2108,F2108,BF,8971,POTTERY,Household vessel,1397,0,0,0,0,0,,0
2109,F2109,BF,8974,IRON,metalworking,1397,0,0,0,0,0,,0
2110,F2110,BF,8975,GLASS,Household Vessel,1397,0,0,0,0,0,;ROMAN;,0
2111,F2111,BF,8977,STONE,;UNWORKED;,1397,0,0,0,0,0,,0
2112,F2112,BF,8978,Animal Bone,Animal Bone,1397,0,0,0,0,0,,0
2139,F2139,BF,9101,POTTERY,Household Vessel,1410,0,0,0,0,0,,0
2140,F2140,BF,9103,CERAMIC BUILDING MATERIAL,Buildings,1410,0,0,0,0,0,,0
2141,F2141,BF,9104,IRON,metalworking,1410,0,0,0,0,0,,0
2142,F2142,BF,9105,GLASS,Household Vessel,1410,0,0,0,0,0,,0
2143,F2143,BF,9107,STONE,;UNWORKED;,1410,0,0,0,0,0,,0,
2164,F2164,BF,8021,POTTERY,Household Vessel,1302,0,0,0,0,0,,0,
2165,F2165,BF,8024,IRON,Fittings Nails,1302,0,0,0,0,0,,0,
2250,F2250,SF,830,Glass,Toilet Stirring Rod,1488,0,0,0,0,0,,0,Roman
2308,F2308,BF,8511,POTTERY,;VESSEL;SAMIAN;,1351,0,0,0,0,0,,0,
2309,F2309,BF,8513,CERAMIC BUILDING MATERIAL,;CERAMIC BUILDING MATERIAL;,1351,0,0,0,0,0,,0,
2310,F2310,BF,8514,IRON,;NAILS;FASTENINGS;,1351,0,0,0,0,0,,0,
2311,F2311,BF,8515,GLASS,;VESSEL;,1351,0,0,0,0,0,;ROMAN;,0,
2312,F2312,BF,8518,BONE,;ANIMAL;ASSORTED;TEETH;,1351,0,0,0,0,0,,0,
2333,F2333,BF,8581,POTTERY,Household Vessel,1358,0,0,0,0,0,,0,
2334,F2334,BF,8585,GLASS,Household Vessel,1358,0,0,0,0,0,,0,
2335,F2335,BF,8588,Animal Bone,Animal Bone,1358,0,0,0,0,0,,0,
2381,F2381,BF,9571,POTTERY,Household Vessel,1457,0,0,0,0,0,,0,
2382,F2382,BF,9573,CBM,Buildings,1457,0,0,0,0,0,,0,
2383,F2383,BF,9574,IRON,Fittings Nails,1457,0,0,0,0,0,,0,
2384,F2384,BF,9578,Animal Bone,Animal Bone,1457,0,0,0,0,0,,0,
2395,F2395,BF,9611,POTTERY,Household Vessel,1461,0,0,0,0,0,,0,
2396,F2396,BF,9614,IRON,Fittings Nails,1461,0,0,0,0,0,,0,
2397,F2397,BF,9615,GLASS,Household Vessel,1461,0,0,0,0,0,,0,
2403,F2403,SF,903,Lead,Miscellaneous Fragment,1472,0,0,0,0,0,,0,
2404,F2404,SF,904,Copper Alloy,Fittings Furniture Nail,1472,0,0,0,0,0,,0,Roman
2412,F2412,SF,789,Lead,Fitting Staple,1410,0,0,0,0,0,,0,?modern
2413,F2413,SF,798,Pottery,Household Vessel,1544,0,0,0,0,0,,0,
